#lemma	pos	decision	reviewer	notes
# Persistent reviewer decisions. Read by 03c-filter-lemmas.js and
# 05-merge-and-gate.js. Format:
#   lemma\tpos\tdecision\treviewer\tnotes
# decision ∈ {accept, reject, defer}
# Lines starting with # are comments.
כלביות		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
גמדת		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
גמדות		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
זרא		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
מקווקו		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
משנאי		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
מיניק		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
יפהפי		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
יפיפי		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
סומ		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
קירחות		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
סיאוב		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
חירוף		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
חירוק		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
סירוג		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
גהות		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
דיראון		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
גירעוני		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
הריוני		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
זירעון		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
היקשי		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
היגד		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
היסע		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
הינף		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
הינד		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
היצג		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
דווה		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
רוויון		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
ברווזה		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
ברווזון		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
תאוותן		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
תאוותנות		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
תאוותני		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
ראוותן		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
ראוותנות		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
שעוונית		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
פרוותי		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
קשווה		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
דוורית		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
נוודית		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
נוודה		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
נוודת		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
נוודות		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
נוודי		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
נווטת		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
נווטות		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
סוורית		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
סוורות		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
חווט		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
פרוורי		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
ענוותן		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
ענוותנות		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
חוואית		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
משוורת		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
מכוורת		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
כוורן		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
כוורנות		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
מדווה		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
גאוותני		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
גאוותנות		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
שוועה		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
זוויג		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
זוויגי		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
צווחן		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
צווחני		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
צווחנות		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
סנוור		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
משווני		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
אווילות		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
אוושה		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
חווק		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
סתוונית		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
עוויתי		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
קוונית		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
קוונות		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
תרווד		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
פרוון		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
פרוונית		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
דווקני		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
דווקנות		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
עווע		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
אלמות		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
אלמותי		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
חדגוני		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
חדגוניות		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
רבגוניות		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
תוך		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
סתו		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
סייחה		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
סייען		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
סייענית		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
שחיינות		accept	bulk-accept	auto-accepted via bulk-accept-review.mjs
